OID_b,FID,COUNT_b,AREA_b,MEAN_b
261,260,159903,159903,0
262,261,159910,159910,0
263,262,159901,159901,0
264,263,159893,159893,0
265,264,159898,159898,0
266,265,159884,159884,0
267,266,159866,159866,0
268,267,159908,159908,0
269,268,159908,159908,0
270,269,159885,159885,0
271,270,159908,159908,0
272,271,159901,159901,0
273,272,159859,159859,0
274,273,159886,159886,0
275,274,159907,159907,0
276,275,113091,113091,0
277,276,119385,119385,0
278,277,159880,159880,0
279,278,159904,159904,0
280,279,159911,159911,0
281,280,159894,159894,0
282,281,159913,159913,0
283,282,159912,159912,0
284,283,159880,159880,0
285,284,159889,159889,0
286,285,159892,159892,0
287,286,159889,159889,0
288,287,159912,159912,0.00569249
289,288,159912,159912,0.000496594
290,289,159889,159889,0.004009273
291,290,159910,159910,0.000110075
292,291,159889,159889,0
293,292,159864,159864,0
294,293,159905,159905,0.017810829
295,294,159912,159912,0
296,295,159895,159895,0
297,296,159902,159902,0
298,297,159912,159912,0
299,298,159888,159888,0
300,299,159869,159869,0
301,300,159897,159897,0
302,301,159909,159909,0.003368731
303,302,159887,159887,0
304,303,159910,159910,0
305,304,159910,159910,0
306,305,159876,159876,0
307,306,159884,159884,0.007542051
308,307,159888,159888,0.001615088
309,308,159887,159887,0.00430743
310,309,159908,159908,0
311,310,159910,159910,0
312,311,159887,159887,0
313,312,159900,159900,0
314,313,159886,159886,0
315,314,159874,159874,0
316,315,159894,159894,0
317,316,159909,159909,0
318,317,159908,159908,0
319,318,159884,159884,0
320,319,159906,159906,0
321,320,159884,159884,0
322,321,112153,112153,0
323,322,120306,120306,0
324,323,159914,159914,0
325,324,159901,159901,0
326,325,159867,159867,0
327,326,159895,159895,0
328,327,159914,159914,0
329,328,159895,159895,0
330,329,159909,159909,0
331,330,159912,159912,0
332,331,159900,159900,0
333,332,159876,159876,0
334,333,159889,159889,0.00767616
335,334,159905,159905,0.00586822
336,335,159890,159890,0
337,336,159912,159912,0.027569908
338,337,159912,159912,0
339,338,159887,159887,0
340,339,159895,159895,0.001740824
341,340,159888,159888,0.016125574
342,341,159872,159872,0
343,342,159911,159911,0
344,343,159910,159910,0
345,344,159887,159887,0
346,345,159911,159911,0
347,346,159900,159900,0
348,347,159867,159867,0
349,348,159885,159885,0
350,349,159910,159910,0
351,350,159900,159900,0
352,351,159895,159895,0.000772157
353,352,159912,159912,0.032191079
354,353,159904,159904,0.02076837
355,354,159862,159862,0.001980236
356,355,159885,159885,0
357,356,159906,159906,0
358,357,159886,159886,0
359,358,159908,159908,0
360,359,159909,159909,0
361,360,159884,159884,0
362,361,159884,159884,0
363,362,159884,159884,0
364,363,159878,159878,0
365,364,159908,159908,0
366,365,159908,159908,0
367,366,159895,159895,0
368,367,111231,111231,0
369,368,121216,121216,0
370,369,159914,159914,0
371,370,159913,159913,0
372,371,159889,159889,0
373,372,159909,159909,0
374,373,159890,159890,0
375,374,159865,159865,0
376,375,159908,159908,0
377,376,159913,159913,0
378,377,159890,159890,0
379,378,159912,159912,0
380,379,159912,159912,0
381,380,159871,159871,0
382,381,159889,159889,0
383,382,159897,159897,0
384,383,159895,159895,0
385,384,159905,159905,0.003437622
386,385,159912,159912,0.017474238
387,386,159902,159902,0
388,387,159886,159886,0.003795476
389,388,159888,159888,0
390,389,159888,159888,0
391,390,159888,159888,0
392,391,159910,159910,0
393,392,159910,159910,0.003346663
394,393,159886,159886,0.014107038
395,394,159907,159907,0.000731099
396,395,159886,159886,0.006018586
397,396,159861,159861,0.027424837
398,397,159906,159906,0
399,398,159908,159908,0.007548111
400,399,159885,159885,2.03E-05
401,400,159910,159910,0
402,401,159909,159909,0
403,402,159872,159872,0
404,403,159875,159875,0
405,404,159900,159900,0
406,405,159903,159903,0
407,406,159889,159889,0
408,407,159908,159908,0
409,408,159908,159908,0
410,409,159865,159865,0
411,410,159884,159884,0
412,411,159897,159897,0
