OID_,FID,COUNT,AREA,MEAN
1182,1181,159888.000000000000000,159888.000000000000000,2.828282653158112
1183,1182,159908.000000000000000,159908.000000000000000,0.450572192986495
1184,1183,159881.000000000000000,159881.000000000000000,0.100549122227253
1185,1184,159908.000000000000000,159908.000000000000000,0.297346534063911
1186,1185,159907.000000000000000,159907.000000000000000,0.400743615381501
1187,1186,159879.000000000000000,159879.000000000000000,0.255990680048953
1188,1187,159877.000000000000000,159877.000000000000000,0.103105752854362
1189,1188,159886.000000000000000,159886.000000000000000,0.000000000000000
1190,1189,159895.000000000000000,159895.000000000000000,0.000000000000000
1191,1190,159893.000000000000000,159893.000000000000000,0.000000000000000
1192,1191,159906.000000000000000,159906.000000000000000,0.000000000000000
1193,1192,159904.000000000000000,159904.000000000000000,0.000000000000000
1194,1193,159874.000000000000000,159874.000000000000000,0.000000000000000
1195,1194,159881.000000000000000,159881.000000000000000,0.000000000000000
1196,1195,94597.000000000000000,94597.000000000000000,0.000000000000000
1197,1196,137939.000000000000000,137939.000000000000000,0.000000000000000
1198,1197,159900.000000000000000,159900.000000000000000,0.515238947960791
1199,1198,159900.000000000000000,159900.000000000000000,0.947713495174600
1200,1199,159890.000000000000000,159890.000000000000000,2.745675743160746
1201,1200,159881.000000000000000,159881.000000000000000,3.408779346926729
1202,1201,159885.000000000000000,159885.000000000000000,6.297234239335777
1203,1202,159912.000000000000000,159912.000000000000000,5.116388381800758
1204,1203,159911.000000000000000,159911.000000000000000,2.594374545554093
1205,1204,159887.000000000000000,159887.000000000000000,3.020625351566630
1206,1205,159911.000000000000000,159911.000000000000000,2.258088558021999
1207,1206,159896.000000000000000,159896.000000000000000,2.159028175958273
1208,1207,159863.000000000000000,159863.000000000000000,2.321201210043204
1209,1208,159893.000000000000000,159893.000000000000000,1.346424952479208
1210,1209,159911.000000000000000,159911.000000000000000,0.820026868056626
1211,1210,159886.000000000000000,159886.000000000000000,2.419111780710340
1212,1211,159911.000000000000000,159911.000000000000000,1.195665775446997
1213,1212,159910.000000000000000,159910.000000000000000,0.784823531584440
1214,1213,159877.000000000000000,159877.000000000000000,0.188577082374905
1215,1214,159884.000000000000000,159884.000000000000000,0.477601504487516
1216,1215,159889.000000000000000,159889.000000000000000,0.657504109479376
1217,1216,159884.000000000000000,159884.000000000000000,0.858991994793605
1218,1217,159910.000000000000000,159910.000000000000000,0.806399986234170
1219,1218,159908.000000000000000,159908.000000000000000,1.370478845839583
1220,1219,159887.000000000000000,159887.000000000000000,0.570644026960895
1221,1220,159900.000000000000000,159900.000000000000000,0.899870800903407
1222,1221,159884.000000000000000,159884.000000000000000,2.079726011483270
1223,1222,159869.000000000000000,159869.000000000000000,2.432885819746605
1224,1223,159898.000000000000000,159898.000000000000000,0.691677444729595
1225,1224,159908.000000000000000,159908.000000000000000,0.311848256247861
1226,1225,159902.000000000000000,159902.000000000000000,3.113953384571368
1227,1226,159890.000000000000000,159890.000000000000000,0.771194813877622
1228,1227,159904.000000000000000,159904.000000000000000,0.139217011804983
1229,1228,159883.000000000000000,159883.000000000000000,0.305455486745948
1230,1229,159859.000000000000000,159859.000000000000000,0.536541369848746
1231,1230,159905.000000000000000,159905.000000000000000,0.368767942114464
1232,1231,159906.000000000000000,159906.000000000000000,0.256569142765236
1233,1232,159882.000000000000000,159882.000000000000000,0.286309078799349
1234,1233,159907.000000000000000,159907.000000000000000,0.184936373432708
1235,1234,159904.000000000000000,159904.000000000000000,0.000000000000000
1236,1235,159856.000000000000000,159856.000000000000000,0.000000000000000
1237,1236,159881.000000000000000,159881.000000000000000,0.000000000000000
1238,1237,159905.000000000000000,159905.000000000000000,0.000000000000000
1239,1238,159881.000000000000000,159881.000000000000000,0.000000000000000
1240,1239,159907.000000000000000,159907.000000000000000,0.000000000000000
1241,1240,159905.000000000000000,159905.000000000000000,0.000000000000000
1242,1241,93631.000000000000000,93631.000000000000000,0.000000000000000
1243,1242,138848.000000000000000,138848.000000000000000,0.000000000000000
1244,1243,159889.000000000000000,159889.000000000000000,0.252976817402486
1245,1244,159912.000000000000000,159912.000000000000000,1.558918303943334
1246,1245,159911.000000000000000,159911.000000000000000,2.838927771603483
1247,1246,159889.000000000000000,159889.000000000000000,3.963630771941737
1248,1247,159897.000000000000000,159897.000000000000000,4.927182594047933
1249,1248,159888.000000000000000,159888.000000000000000,3.413087808679042
1250,1249,159868.000000000000000,159868.000000000000000,3.476050673896765
1251,1250,159912.000000000000000,159912.000000000000000,4.545039150080118
1252,1251,159910.000000000000000,159910.000000000000000,2.856842286247847
1253,1252,159892.000000000000000,159892.000000000000000,2.573980007859187
1254,1253,159905.000000000000000,159905.000000000000000,2.353744500919628
1255,1254,159902.000000000000000,159902.000000000000000,1.148479679288639
1256,1255,159875.000000000000000,159875.000000000000000,0.254801745309600
1257,1256,159873.000000000000000,159873.000000000000000,1.809753043640589
1258,1257,159909.000000000000000,159909.000000000000000,0.359250767240869
1259,1258,159904.000000000000000,159904.000000000000000,0.109797007278463
1260,1259,159891.000000000000000,159891.000000000000000,0.068941324435382
1261,1260,159910.000000000000000,159910.000000000000000,0.172657652881101
1262,1261,159906.000000000000000,159906.000000000000000,0.139056136054577
1263,1262,159861.000000000000000,159861.000000000000000,0.636544345021932
1264,1263,159884.000000000000000,159884.000000000000000,1.483245709508402
1265,1264,159904.000000000000000,159904.000000000000000,1.123394290232446
1266,1265,159884.000000000000000,159884.000000000000000,1.012275027648966
1267,1266,159910.000000000000000,159910.000000000000000,0.625297945724044
1268,1267,159908.000000000000000,159908.000000000000000,0.742338944254367
1269,1268,159884.000000000000000,159884.000000000000000,0.909345808017482
1270,1269,159884.000000000000000,159884.000000000000000,0.135907493179594
1271,1270,159882.000000000000000,159882.000000000000000,0.308998363588070
1272,1271,159875.000000000000000,159875.000000000000000,0.803569089601708
1273,1272,159907.000000000000000,159907.000000000000000,1.015091165290705
1274,1273,159907.000000000000000,159907.000000000000000,0.347783881940579
1275,1274,159883.000000000000000,159883.000000000000000,1.523611611274248
1276,1275,159906.000000000000000,159906.000000000000000,0.614305405539637
1277,1276,159884.000000000000000,159884.000000000000000,0.079896222605322
1278,1277,159869.000000000000000,159869.000000000000000,0.004333442071553
1279,1278,159889.000000000000000,159889.000000000000000,0.103406156031458
1280,1279,159906.000000000000000,159906.000000000000000,0.190814699442043
1281,1280,159900.000000000000000,159900.000000000000000,0.000000000000000
1282,1281,159889.000000000000000,159889.000000000000000,0.000000000000000
1283,1282,159906.000000000000000,159906.000000000000000,0.000000000000000
1284,1283,159884.000000000000000,159884.000000000000000,0.000000000000000
1285,1284,159856.000000000000000,159856.000000000000000,0.000000000000000
1286,1285,159899.000000000000000,159899.000000000000000,0.000000000000000
1287,1286,159905.000000000000000,159905.000000000000000,0.000000000000000
1288,1287,92722.000000000000000,92722.000000000000000,0.000000000000000
1289,1288,139799.000000000000000,139799.000000000000000,0.000000000000000
1290,1289,159868.000000000000000,159868.000000000000000,0.271613439799077
1291,1290,159893.000000000000000,159893.000000000000000,1.173883765141331
1292,1291,159911.000000000000000,159911.000000000000000,2.814220738082467
1293,1292,159888.000000000000000,159888.000000000000000,4.018996318586996
1294,1293,159910.000000000000000,159910.000000000000000,5.010827598359565
1295,1294,159911.000000000000000,159911.000000000000000,3.921116899511774
1296,1295,159882.000000000000000,159882.000000000000000,2.446912919467990
1297,1296,159886.000000000000000,159886.000000000000000,3.861888016797045
1298,1297,159888.000000000000000,159888.000000000000000,2.741104130748297
1299,1298,159884.000000000000000,159884.000000000000000,3.044476778726555
1300,1299,159909.000000000000000,159909.000000000000000,3.404176739935052
1301,1300,159911.000000000000000,159911.000000000000000,3.225616019483493
1302,1301,159885.000000000000000,159885.000000000000000,1.187603352921821
1303,1302,159910.000000000000000,159910.000000000000000,0.648521343090685
1304,1303,159886.000000000000000,159886.000000000000000,0.047741328662065
1305,1304,159861.000000000000000,159861.000000000000000,0.143176404669862
1306,1305,159902.000000000000000,159902.000000000000000,0.032679695440196
1307,1306,159908.000000000000000,159908.000000000000000,0.048484760069436
1308,1307,159887.000000000000000,159887.000000000000000,0.075465595206926
1309,1308,159907.000000000000000,159907.000000000000000,0.097595639571062
1310,1309,159909.000000000000000,159909.000000000000000,0.367201331280400
1311,1310,159873.000000000000000,159873.000000000000000,1.276438584350700
1312,1311,159876.000000000000000,159876.000000000000000,0.918407516443224
1313,1312,159897.000000000000000,159897.000000000000000,1.136643344783713
1314,1313,159900.000000000000000,159900.000000000000000,0.146922640057934
1315,1314,159892.000000000000000,159892.000000000000000,0.459334402032093
1316,1315,159908.000000000000000,159908.000000000000000,0.100900789388682
1317,1316,159906.000000000000000,159906.000000000000000,0.682532407734311
1318,1317,159867.000000000000000,159867.000000000000000,1.277889326992618
1319,1318,159884.000000000000000,159884.000000000000000,1.017111682798779
1320,1319,159895.000000000000000,159895.000000000000000,0.414401887266040
1321,1320,159883.000000000000000,159883.000000000000000,1.070579106928355
1322,1321,159908.000000000000000,159908.000000000000000,0.343288140993877
1323,1322,159906.000000000000000,159906.000000000000000,0.000689233679212
1324,1323,159881.000000000000000,159881.000000000000000,0.008232687277777
1325,1324,159890.000000000000000,159890.000000000000000,0.015785029377497
1326,1325,159883.000000000000000,159883.000000000000000,0.797011879115065
1327,1326,159868.000000000000000,159868.000000000000000,0.000000000000000
1328,1327,159907.000000000000000,159907.000000000000000,0.000000000000000
1329,1328,159906.000000000000000,159906.000000000000000,0.000000000000000
1330,1329,159883.000000000000000,159883.000000000000000,0.000000000000000
1331,1330,159904.000000000000000,159904.000000000000000,0.000000000000000
1332,1331,159888.000000000000000,159888.000000000000000,0.000000000000000
1333,1332,159867.000000000000000,159867.000000000000000,0.000000000000000
1334,1333,91815.000000000000000,91815.000000000000000,0.000000000000000
1335,1334,140723.000000000000000,140723.000000000000000,0.000000000000000
1336,1335,159912.000000000000000,159912.000000000000000,0.741233426828363
1337,1336,159907.000000000000000,159907.000000000000000,3.128026386963716
1338,1337,159866.000000000000000,159866.000000000000000,3.200820340431726
1339,1338,159885.000000000000000,159885.000000000000000,3.010536270148792
1340,1339,159908.000000000000000,159908.000000000000000,3.437808539417365
1341,1340,159895.000000000000000,159895.000000000000000,2.552199895677363
