Buildingnumber,cell,greening_category,Point_Count,simulation
27176,115,No tree,0,0
31447,115,No tree,0,0
46250,115,No tree,1,0
48793,115,No tree,0,0
54314,115,No tree,0,0
57421,115,No tree,0,0
59220,115,No tree,0,0
74866,115,No tree,0,0
81344,115,No tree,0,0
92537,115,No tree,0,0
99796,115,No tree,0,0
103250,115,No tree,0,0
103861,115,No tree,0,0
57,115,cover,4,0
535,115,cover,2,0
1573,115,cover,1,0
1804,115,cover,3,0
2038,115,cover,2,0
3384,115,cover,5,0
3394,115,cover,2,0
3429,115,cover,1,0
3484,115,cover,1,0
4333,115,cover,5,0
5476,115,cover,9,0
6151,115,cover,2,0
7727,115,cover,3,0
8254,115,cover,4,0
8496,115,cover,3,0
10440,115,cover,4,0
11001,115,cover,2,0
16082,115,cover,3,0
16996,115,cover,0,0
17846,115,cover,2,0
21094,115,cover,4,0
22215,115,cover,3,0
22522,115,cover,1,0
23779,115,cover,1,0
24452,115,cover,2,0
25430,115,cover,2,0
28339,115,cover,5,0
29996,115,cover,2,0
31027,115,cover,4,0
31417,115,cover,3,0
33464,115,cover,3,0
33593,115,cover,1,0
33875,115,cover,4,0
35101,115,cover,3,0
35200,115,cover,3,0
40317,115,cover,3,0
41722,115,cover,3,0
42227,115,cover,3,0
42944,115,cover,1,0
43751,115,cover,3,0
46299,115,cover,2,0
46881,115,cover,6,0
48526,115,cover,1,0
48689,115,cover,4,0
53809,115,cover,1,0
58578,115,cover,2,0
59303,115,cover,5,0
60943,115,cover,1,0
62510,115,cover,3,0
66728,115,cover,5,0
69675,115,cover,4,0
70912,115,cover,1,0
76288,115,cover,3,0
77722,115,cover,5,0
77879,115,cover,5,0
77921,115,cover,2,0
80079,115,cover,3,0
80149,115,cover,0,0
81729,115,cover,1,0
82325,115,cover,5,0
82353,115,cover,2,0
84055,115,cover,6,0
84094,115,cover,1,0
85414,115,cover,3,0
85847,115,cover,4,0
86400,115,cover,1,0
87765,115,cover,3,0
89916,115,cover,0,0
89952,115,cover,1,0
92419,115,cover,4,0
93654,115,cover,3,0
94671,115,cover,2,0
94892,115,cover,1,0
95076,115,cover,4,0
95997,115,cover,4,0
98038,115,cover,5,0
100605,115,cover,7,0
104621,115,cover,1,0
104763,115,cover,3,0
105511,115,cover,4,0
106844,115,cover,2,0
107958,115,cover,1,0
45830,115,0-1m,2,0
4172,115,0-1m,1,0
108363,115,0-1m,2,0
112389,115,0-1m,3,0
82504,115,0-1m,1,0
54763,115,0-1m,3,0
62223,115,0-1m,1,0
8304,115,0-1m,4,0
49052,115,0-1m,1,0
104672,115,1-2m,2,0
76842,115,1-2m,1,0
82252,115,1-2m,1,0
96285,115,1-2m,0,0
29033,115,1-2m,2,0
105833,115,1-2m,4,0
75235,115,1-2m,1,0
14662,115,2-3m,3,0
97914,115,2-3m,3,0
2557,115,2-3m,3,0
56505,115,2-3m,3,0
47493,115,2-3m,1,0
101251,115,2-3m,1,0
53706,115,2-3m,2,0
23328,115,2-3m,3,0
77290,115,2-3m,3,0
30754,115,2-3m,2,0
65094,115,2-3m,2,0
25792,115,3-4m,1,0
99891,115,3-4m,1,0
86586,115,3-4m,3,0
61830,115,3-4m,0,0
107653,115,3-4m,0,0
45898,115,3-4m,1,0
103154,115,3-4m,0,0
13808,115,4-5m,2,0
92656,115,4-5m,3,0
22834,115,4-5m,1,0
73921,115,4-5m,2,0
27810,115,4-5m,0,0
51281,115,5-6m,0,0
85378,115,5-6m,1,0
12167,115,5-6m,2,0
67220,115,5-6m,0,0
61613,115,5-6m,1,0
35193,115,5-6m,2,0
111237,115,6-7m,1,0
91590,115,6-7m,1,0
33988,115,6-7m,0,0
15469,115,6-7m,0,0
11713,115,6-7m,0,0
13372,115,6-7m,1,0
48558,115,7-8m,0,0
13407,115,7-8m,1,0
11809,115,7-8m,0,0
80871,115,7-8m,0,0
34762,115,8-9m,1,0
23930,115,8-9m,0,0
42136,115,8-9m,0,0
34348,115,8-9m,0,0
25450,115,9-10m,0,0
94462,115,9-10m,0,0
95914,115,9-10m,0,0
19026,115,9-10m,0,0
